Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""1s.17g""","=""3G""","=""5""",11,"=""[""","=""24.54031625776888""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17g""","=""3G""","=""3""",7,"=""[""","=""24.54031626571205""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17g""","=""1G""","=""4""",9,"=""[""","=""24.54031627109507""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17h""","=""3H*""","=""5""",11,"=""[""","=""24.54031667935854""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17h""","=""3H*""","=""6""",13,"=""[""","=""24.54031668505029""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17h""","=""3H*""","=""4""",9,"=""[""","=""24.54031669021609""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17h""","=""1H*""","=""5""",11,"=""[""","=""24.54031669407125""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17i""","=""3I""","=""6""",13,"=""[""","=""24.54031681998514""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17i""","=""3I""","=""7""",15,"=""[""","=""24.54031682397743""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17i""","=""3I""","=""5""",11,"=""[""","=""24.54031682761500""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17i""","=""1I""","=""6""",13,"=""[""","=""24.54031683050508""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.17p""","=""1P*""","=""1""",3,"=""[""","=""24.540383970169""","=""]""","=""0.000000000003""","=""L22715c201"""
"=""1s.18s""","=""3S""","=""1""",3,"=""[""","=""24.54398233732""","=""]""","=""0.00000000004""","=""L22715c201"""
"=""1s.18s""","=""1S""","=""0""",1,"=""[""","=""24.54474198645""","=""]""","=""0.00000000005""","=""L22715c201"""
"=""1s.18p""","=""3P*""","=""2""",5,"=""[""","=""24.545081422311""","=""]""","=""0.000000000017""","=""L22715c201"""
"=""1s.18p""","=""3P*""","=""1""",3,"=""[""","=""24.545081433777""","=""]""","=""0.000000000017""","=""L22715c201"""
"=""1s.18p""","=""3P*""","=""0""",1,"=""[""","=""24.545081574822""","=""]""","=""0.000000000019""","=""L22715c201"""
"=""1s.18d""","=""3D""","=""3""",7,"=""[""","=""24.5453884907962""","=""]""","=""0.0000000000020""","=""L22715c201"""
"=""1s.18d""","=""3D""","=""2""",5,"=""[""","=""24.5453884925955""","=""]""","=""0.0000000000020""","=""L22715c201"""
"=""1s.18d""","=""3D""","=""1""",3,"=""[""","=""24.5453885176235""","=""]""","=""0.0000000000020""","=""L22715c201"""
"=""1s.18d""","=""1D""","=""2""",5,"=""[""","=""24.5453920745509""","=""]""","=""0.0000000000014""","=""L22715c201"""
"=""1s.18f""","=""3F*""","=""3""",7,"=""[""","=""24.5453998231606""","=""]""","=""0.0000000000007""","=""L22715c201"""
"=""1s.18f""","=""3F*""","=""4""",9,"=""[""","=""24.54539982900393""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18f""","=""3F*""","=""2""",5,"=""[""","=""24.5453998407124""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.18f""","=""1F*""","=""3""",7,"=""[""","=""24.5453998613483""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.18g""","=""3G""","=""4""",9,"=""[""","=""24.54540130215355""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18g""","=""3G""","=""5""",11,"=""[""","=""24.54540130948846""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18g""","=""3G""","=""3""",7,"=""[""","=""24.54540131617989""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18g""","=""1G""","=""4""",9,"=""[""","=""24.54540132071510""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18h""","=""3H*""","=""5""",11,"=""[""","=""24.54540166527773""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18h""","=""3H*""","=""6""",13,"=""[""","=""24.54540167007257""","=""]""","=""0.00000000000025""","=""L22715c201"""
