Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""1s.23f""","=""3F*""","=""4""",9,"=""[""","=""24.56167189777009""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23f""","=""3F*""","=""2""",5,"=""[""","=""24.56167190338211""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23f""","=""1F*""","=""3""",7,"=""[""","=""24.5616719134033""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.23g""","=""3G""","=""4""",9,"=""[""","=""24.56167260640773""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23g""","=""3G""","=""5""",11,"=""[""","=""24.56167260992293""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23g""","=""3G""","=""3""",7,"=""[""","=""24.56167261313027""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23g""","=""1G""","=""4""",9,"=""[""","=""24.56167261530483""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23h""","=""3H*""","=""5""",11,"=""[""","=""24.56167278143424""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23h""","=""3H*""","=""6""",13,"=""[""","=""24.56167278373253""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23h""","=""3H*""","=""4""",9,"=""[""","=""24.56167278581844""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23h""","=""1H*""","=""5""",11,"=""[""","=""24.56167278737518""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23i""","=""3I""","=""6""",13,"=""[""","=""24.56167283882329""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23i""","=""3I""","=""7""",15,"=""[""","=""24.56167284043534""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23i""","=""3I""","=""5""",11,"=""[""","=""24.56167284190418""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23i""","=""1I""","=""6""",13,"=""[""","=""24.56167284307112""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.23p""","=""1P*""","=""1""",3,"=""[""","=""24.5616999889025""","=""]""","=""0.0000000000015""","=""L22715c201"""
"=""1s.24s""","=""3S""","=""1""",3,"=""[""","=""24.563176245141""","=""]""","=""0.000000000020""","=""L22715c201"""
"=""1s.24s""","=""1S""","=""0""",1,"=""[""","=""24.563493750576""","=""]""","=""0.000000000024""","=""L22715c201"""
"=""1s.24p""","=""3P*""","=""2""",5,"=""[""","=""24.563636199254""","=""]""","=""0.000000000008""","=""L22715c201"""
"=""1s.24p""","=""3P*""","=""1""",3,"=""[""","=""24.563636204075""","=""]""","=""0.000000000008""","=""L22715c201"""
"=""1s.24p""","=""3P*""","=""0""",1,"=""[""","=""24.563636263378""","=""]""","=""0.000000000009""","=""L22715c201"""
"=""1s.24d""","=""3D""","=""3""",7,"=""[""","=""24.5637655848143""","=""]""","=""0.0000000000010""","=""L22715c201"""
"=""1s.24d""","=""3D""","=""2""",5,"=""[""","=""24.5637655855747""","=""]""","=""0.0000000000010""","=""L22715c201"""
"=""1s.24d""","=""3D""","=""1""",3,"=""[""","=""24.5637655961309""","=""]""","=""0.0000000000010""","=""L22715c201"""
"=""1s.24d""","=""1D""","=""2""",5,"=""[""","=""24.5637671052423""","=""]""","=""0.0000000000007""","=""L22715c201"""
"=""1s.24f""","=""3F*""","=""3""",7,"=""[""","=""24.5637703776417""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.24f""","=""3F*""","=""4""",9,"=""[""","=""24.56377038007413""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24f""","=""3F*""","=""2""",5,"=""[""","=""24.56377038501341""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24f""","=""1F*""","=""3""",7,"=""[""","=""24.5637703938482""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.24g""","=""3G""","=""4""",9,"=""[""","=""24.56377100405684""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24g""","=""3G""","=""5""",11,"=""[""","=""24.56377100715062""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24g""","=""3G""","=""3""",7,"=""[""","=""24.56377100997349""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24g""","=""1G""","=""4""",9,"=""[""","=""24.56377101188744""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24h""","=""3H*""","=""5""",11,"=""[""","=""24.56377115821408""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24h""","=""3H*""","=""6""",13,"=""[""","=""24.56377116023689""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24h""","=""3H*""","=""4""",9,"=""[""","=""24.56377116207272""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24h""","=""1H*""","=""5""",11,"=""[""","=""24.56377116344287""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24i""","=""3I""","=""6""",13,"=""[""","=""24.56377120877645""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24i""","=""3I""","=""7""",15,"=""[""","=""24.56377121019533""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24i""","=""3I""","=""5""",11,"=""[""","=""24.56377121148811""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24i""","=""1I""","=""6""",13,"=""[""","=""24.56377121251520""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.24p""","=""1P*""","=""1""",3,"=""[""","=""24.5637951076943""","=""]""","=""0.0000000000014""","=""L22715c201"""
"=""1s.25s""","=""3S""","=""1""",3,"=""[""","=""24.565096865986""","=""]""","=""0.000000000017""","=""L22715c201"""
"=""1s.25s""","=""1S""","=""0""",1,"=""[""","=""24.565377461944""","=""]""","=""0.000000000021""","=""L22715c201"""
"=""1s.25p""","=""3P*""","=""2""",5,"=""[""","=""24.565503414208""","=""]""","=""0.000000000007""","=""L22715c201"""
"=""1s.25p""","=""3P*""","=""1""",3,"=""[""","=""24.565503418471""","=""]""","=""0.000000000007""","=""L22715c201"""
"=""1s.25p""","=""3P*""","=""0""",1,"=""[""","=""24.565503470918""","=""]""","=""0.000000000008""","=""L22715c201"""
"=""1s.25d""","=""3D""","=""3""",7,"=""[""","=""24.5656178688224""","=""]""","=""0.0000000000009""","=""L22715c201"""
"=""1s.25d""","=""3D""","=""2""",5,"=""[""","=""24.5656178694953""","=""]""","=""0.0000000000009""","=""L22715c201"""
"=""1s.25d""","=""3D""","=""1""",3,"=""[""","=""24.5656178788346""","=""]""","=""0.0000000000009""","=""L22715c201"""
"=""1s.25d""","=""1D""","=""2""",5,"=""[""","=""24.5656192147580""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.25f""","=""3F*""","=""3""",7,"=""[""","=""24.5656221102725""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.25f""","=""3F*""","=""4""",9,"=""[""","=""24.56562211242163""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25f""","=""3F*""","=""2""",5,"=""[""","=""24.56562211679146""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25f""","=""1F*""","=""3""",7,"=""[""","=""24.56562212461957""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25g""","=""3G""","=""4""",9,"=""[""","=""24.56562266470429""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25g""","=""3G""","=""5""",11,"=""[""","=""24.56562266744136""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25g""","=""3G""","=""3""",7,"=""[""","=""24.56562266993890""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25g""","=""1G""","=""4""",9,"=""[""","=""24.56562267163228""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25h""","=""3H*""","=""5""",11,"=""[""","=""24.56562280117866""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25h""","=""3H*""","=""6""",13,"=""[""","=""24.56562280296836""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25h""","=""3H*""","=""4""",9,"=""[""","=""24.56562280459268""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25h""","=""1H*""","=""5""",11,"=""[""","=""24.56562280580487""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25i""","=""3I""","=""6""",13,"=""[""","=""24.56562284595393""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25i""","=""3I""","=""7""",15,"=""[""","=""24.56562284720915""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25i""","=""3I""","=""5""",11,"=""[""","=""24.56562284835291""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25i""","=""1I""","=""6""",13,"=""[""","=""24.56562284926171""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.25p""","=""1P*""","=""1""",3,"=""[""","=""24.5656439926761""","=""]""","=""0.0000000000011""","=""L22715c201"""
"=""1s.26s""","=""3S""","=""1""",3,"=""[""","=""24.566797707089""","=""]""","=""0.000000000016""","=""L22715c201"""
"=""1s.26s""","=""1S""","=""0""",1,"=""[""","=""24.567046899898""","=""]""","=""0.000000000019""","=""L22715c201"""
"=""1s.26p""","=""3P*""","=""2""",5,"=""[""","=""24.567158808062""","=""]""","=""0.000000000007""","=""L22715c201"""
"=""1s.26p""","=""3P*""","=""1""",3,"=""[""","=""24.567158811850""","=""]""","=""0.000000000007""","=""L22715c201"""
"=""1s.26p""","=""3P*""","=""0""",1,"=""[""","=""24.567158858459""","=""]""","=""0.000000000007""","=""L22715c201"""
"=""1s.26d""","=""3D""","=""3""",7,"=""[""","=""24.5672605433840""","=""]""","=""0.0000000000009""","=""L22715c201"""
"=""1s.26d""","=""3D""","=""2""",5,"=""[""","=""24.5672605439822""","=""]""","=""0.0000000000009""","=""L22715c201"""
"=""1s.26d""","=""3D""","=""1""",3,"=""[""","=""24.5672605522847""","=""]""","=""0.0000000000009""","=""L22715c201"""
"=""1s.26d""","=""1D""","=""2""",5,"=""[""","=""24.5672617405129""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.26f""","=""3F*""","=""3""",7,"=""[""","=""24.5672643148546""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.26f""","=""3F*""","=""4""",9,"=""[""","=""24.56726431676283""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26f""","=""3F*""","=""2""",5,"=""[""","=""24.56726432064762""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26f""","=""1F*""","=""3""",7,"=""[""","=""24.56726432761591""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26g""","=""3G""","=""4""",9,"=""[""","=""24.56726480791557""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26g""","=""3G""","=""5""",11,"=""[""","=""24.56726481034876""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26g""","=""3G""","=""3""",7,"=""[""","=""24.56726481256906""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26g""","=""1G""","=""4""",9,"=""[""","=""24.56726481407461""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26h""","=""3H*""","=""5""",11,"=""[""","=""24.56726492930875""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26h""","=""3H*""","=""6""",13,"=""[""","=""24.56726493089971""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26h""","=""3H*""","=""4""",9,"=""[""","=""24.56726493234363""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26h""","=""1H*""","=""5""",11,"=""[""","=""24.56726493342130""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26i""","=""3I""","=""6""",13,"=""[""","=""24.56726496914586""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26i""","=""3I""","=""7""",15,"=""[""","=""24.56726497026171""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26i""","=""3I""","=""5""",11,"=""[""","=""24.56726497127851""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26i""","=""1I""","=""6""",13,"=""[""","=""24.56726497208639""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.26p""","=""1P*""","=""1""",3,"=""[""","=""24.5672837704877""","=""]""","=""0.0000000000011""","=""L22715c201"""
"=""1s.27s""","=""3S""","=""1""",3,"=""[""","=""24.568311065912""","=""]""","=""0.000000000015""","=""L22715c201"""
"=""1s.27s""","=""1S""","=""0""",1,"=""[""","=""24.568533372188""","=""]""","=""0.000000000017""","=""L22715c201"""
"=""1s.27p""","=""3P*""","=""2""",5,"=""[""","=""24.568633249232""","=""]""","=""0.000000000006""","=""L22715c201"""
"=""1s.27p""","=""3P*""","=""1""",3,"=""[""","=""24.568633252613""","=""]""","=""0.000000000006""","=""L22715c201"""
"=""1s.27p""","=""3P*""","=""0""",1,"=""[""","=""24.568633294219""","=""]""","=""0.000000000006""","=""L22715c201"""
"=""1s.27d""","=""3D""","=""3""",7,"=""[""","=""24.5687240821339""","=""]""","=""0.0000000000007""","=""L22715c201"""
"=""1s.27d""","=""3D""","=""2""",5,"=""[""","=""24.5687240826682""","=""]""","=""0.0000000000007""","=""L22715c201"""
"=""1s.27d""","=""3D""","=""1""",3,"=""[""","=""24.5687240900818""","=""]""","=""0.0000000000007""","=""L22715c201"""
"=""1s.27d""","=""1D""","=""2""",5,"=""[""","=""24.5687251515888""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.27f""","=""3F*""","=""3""",7,"=""[""","=""24.56872745054607""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27f""","=""3F*""","=""4""",9,"=""[""","=""24.56872745224825""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27f""","=""3F*""","=""2""",5,"=""[""","=""24.56872745571721""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27f""","=""1F*""","=""3""",7,"=""[""","=""24.56872746194679""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27g""","=""3G""","=""4""",9,"=""[""","=""24.56872789096436""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27g""","=""3G""","=""5""",11,"=""[""","=""24.56872789313705""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27g""","=""3G""","=""3""",7,"=""[""","=""24.56872789511969""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27g""","=""1G""","=""4""",9,"=""[""","=""24.56872789646405""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27h""","=""3H*""","=""5""",11,"=""[""","=""24.56872799941668""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27h""","=""3H*""","=""6""",13,"=""[""","=""24.56872800083729""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27h""","=""3H*""","=""4""",9,"=""[""","=""24.56872800212673""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27h""","=""1H*""","=""5""",11,"=""[""","=""24.56872800308897""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27i""","=""3I""","=""6""",13,"=""[""","=""24.56872803501490""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27i""","=""3I""","=""7""",15,"=""[""","=""24.56872803601149""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27i""","=""3I""","=""5""",11,"=""[""","=""24.56872803691942""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27i""","=""1I""","=""6""",13,"=""[""","=""24.56872803764076""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.27p""","=""1P*""","=""1""",3,"=""[""","=""24.5687448253290""","=""]""","=""0.0000000000010""","=""L22715c201"""
"=""1s.28s""","=""3S""","=""1""",3,"=""[""","=""24.569663517927""","=""]""","=""0.000000000012""","=""L22715c201"""
"=""1s.28s""","=""1S""","=""0""",1,"=""[""","=""24.569862670594""","=""]""","=""0.000000000015""","=""L22715c201"""
"=""1s.28p""","=""3P*""","=""2""",5,"=""[""","=""24.569952181343""","=""]""","=""0.000000000005""","=""L22715c201"""
"=""1s.28p""","=""3P*""","=""1""",3,"=""[""","=""24.569952184374""","=""]""","=""0.000000000005""","=""L22715c201"""
"=""1s.28p""","=""3P*""","=""0""",1,"=""[""","=""24.569952221667""","=""]""","=""0.000000000006""","=""L22715c201"""
"=""1s.28d""","=""3D""","=""3""",7,"=""[""","=""24.5700336155463""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.28d""","=""3D""","=""2""",5,"=""[""","=""24.5700336160254""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.28d""","=""3D""","=""1""",3,"=""[""","=""24.5700336226726""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.28d""","=""1D""","=""2""",5,"=""[""","=""24.5700345748407""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.28f""","=""3F*""","=""3""",7,"=""[""","=""24.57003663632574""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28f""","=""3F*""","=""4""",9,"=""[""","=""24.57003663785049""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28f""","=""3F*""","=""2""",5,"=""[""","=""24.57003664096088""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28f""","=""1F*""","=""3""",7,"=""[""","=""24.57003664655245""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28g""","=""3G""","=""4""",9,"=""[""","=""24.57003703133207""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28g""","=""3G""","=""5""",11,"=""[""","=""24.57003703328024""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28g""","=""3G""","=""3""",7,"=""[""","=""24.57003703505793""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28g""","=""1G""","=""4""",9,"=""[""","=""24.57003703626330""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28h""","=""3H*""","=""5""",11,"=""[""","=""24.57003712861789""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28h""","=""3H*""","=""6""",13,"=""[""","=""24.57003712989170""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28h""","=""3H*""","=""4""",9,"=""[""","=""24.57003713104785""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28h""","=""1H*""","=""5""",11,"=""[""","=""24.57003713191066""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28i""","=""3I""","=""6""",13,"=""[""","=""24.57003716055721""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28i""","=""3I""","=""7""",15,"=""[""","=""24.57003716145064""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28i""","=""3I""","=""5""",11,"=""[""","=""24.57003716226472""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28i""","=""1I""","=""6""",13,"=""[""","=""24.57003716291154""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.28p""","=""1P*""","=""1""",3,"=""[""","=""24.5700522166844""","=""]""","=""0.0000000000009""","=""L22715c201"""
"=""1s.29s""","=""3S""","=""1""",3,"=""[""","=""24.570877091365""","=""]""","=""0.000000000012""","=""L22715c201"""
"=""1s.29s""","=""1S""","=""0""",1,"=""[""","=""24.571056197338""","=""]""","=""0.000000000014""","=""L22715c201"""
"=""1s.29p""","=""3P*""","=""2""",5,"=""[""","=""24.571136728296""","=""]""","=""0.000000000005""","=""L22715c201"""
"=""1s.29p""","=""3P*""","=""1""",3,"=""[""","=""24.571136731023""","=""]""","=""0.000000000005""","=""L22715c201"""
"=""1s.29p""","=""3P*""","=""0""",1,"=""[""","=""24.571136764580""","=""]""","=""0.000000000005""","=""L22715c201"""
"=""1s.29d""","=""3D""","=""3""",7,"=""[""","=""24.5712100169667""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.29d""","=""3D""","=""2""",5,"=""[""","=""24.5712100173980""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.29d""","=""3D""","=""1""",3,"=""[""","=""24.5712100233809""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.29d""","=""1D""","=""2""",5,"=""[""","=""24.5712108807138""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.29f""","=""3F*""","=""3""",7,"=""[""","=""24.57121273633383""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29f""","=""3F*""","=""4""",9,"=""[""","=""24.57121273770497""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29f""","=""3F*""","=""2""",5,"=""[""","=""24.57121274050453""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29f""","=""1F*""","=""3""",7,"=""[""","=""24.57121274554213""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29g""","=""3G""","=""4""",9,"=""[""","=""24.57121309195956""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29g""","=""3G""","=""5""",11,"=""[""","=""24.57121309371307""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29g""","=""3G""","=""3""",7,"=""[""","=""24.57121309531309""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29g""","=""1G""","=""4""",9,"=""[""","=""24.57121309639820""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29h""","=""3H*""","=""5""",11,"=""[""","=""24.57121317955936""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29h""","=""3H*""","=""6""",13,"=""[""","=""24.57121318070597""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29h""","=""3H*""","=""4""",9,"=""[""","=""24.57121318174644""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29h""","=""1H*""","=""5""",11,"=""[""","=""24.57121318252308""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29i""","=""3I""","=""6""",13,"=""[""","=""24.57121320832382""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29i""","=""3I""","=""7""",15,"=""[""","=""24.57121320912798""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29i""","=""3I""","=""5""",11,"=""[""","=""24.57121320986073""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29i""","=""1I""","=""6""",13,"=""[""","=""24.57121321044296""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.29p""","=""1P*""","=""1""",3,"=""[""","=""24.5712267610659""","=""]""","=""0.0000000000007""","=""L22715c201"""
"=""1s.30s""","=""3S""","=""1""",3,"=""[""","=""24.571970169921""","=""]""","=""0.000000000011""","=""L22715c201"""
"=""1s.30s""","=""1S""","=""0""",1,"=""[""","=""24.572131831975""","=""]""","=""0.000000000012""","=""L22715c201"""
"=""1s.30p""","=""3P*""","=""2""",5,"=""[""","=""24.572204545351""","=""]""","=""0.000000000004""","=""L22715c201"""
"=""1s.30p""","=""3P*""","=""1""",3,"=""[""","=""24.572204547814""","=""]""","=""0.000000000004""","=""L22715c201"""
"=""1s.30p""","=""3P*""","=""0""",1,"=""[""","=""24.572204578118""","=""]""","=""0.000000000005""","=""L22715c201"""
"=""1s.30d""","=""3D""","=""3""",7,"=""[""","=""24.5722707395730""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.30d""","=""3D""","=""2""",5,"=""[""","=""24.5722707399626""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.30d""","=""3D""","=""1""",3,"=""[""","=""24.5722707453667""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.30d""","=""1D""","=""2""",5,"=""[""","=""24.5722715200426""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.30f""","=""3F*""","=""3""",7,"=""[""","=""24.57227319631699""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30f""","=""3F*""","=""4""",9,"=""[""","=""24.57227319755460""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30f""","=""3F*""","=""2""",5,"=""[""","=""24.57227320008351""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30f""","=""1F*""","=""3""",7,"=""[""","=""24.57227320463770""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30g""","=""3G""","=""4""",9,"=""[""","=""24.57227351762527""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30g""","=""3G""","=""5""",11,"=""[""","=""24.57227351920917""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30g""","=""3G""","=""3""",7,"=""[""","=""24.57227352065445""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30g""","=""1G""","=""4""",9,"=""[""","=""24.57227352163454""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30h""","=""3H*""","=""5""",11,"=""[""","=""24.57227359678224""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30h""","=""3H*""","=""6""",13,"=""[""","=""24.57227359781800""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30h""","=""3H*""","=""4""",9,"=""[""","=""24.57227359875792""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30h""","=""1H*""","=""5""",11,"=""[""","=""24.57227359945942""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30i""","=""3I""","=""6""",13,"=""[""","=""24.57227362277862""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30i""","=""3I""","=""7""",15,"=""[""","=""24.57227362350504""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30i""","=""3I""","=""5""",11,"=""[""","=""24.57227362416699""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30i""","=""1I""","=""6""",13,"=""[""","=""24.57227362469293""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.30p""","=""1P*""","=""1""",3,"=""[""","=""24.5722858657881""","=""]""","=""0.0000000000007""","=""L22715c201"""
"=""1s.31s""","=""3S""","=""1""",3,"=""[""","=""24.572958193102""","=""]""","=""0.000000000010""","=""L22715c201"""
"=""1s.31s""","=""1S""","=""0""",1,"=""[""","=""24.573104604934""","=""]""","=""0.000000000012""","=""L22715c201"""
"=""1s.31p""","=""3P*""","=""2""",5,"=""[""","=""24.573170480820""","=""]""","=""0.000000000004""","=""L22715c201"""
"=""1s.31p""","=""3P*""","=""1""",3,"=""[""","=""24.573170483051""","=""]""","=""0.000000000004""","=""L22715c201"""
"=""1s.31p""","=""3P*""","=""0""",1,"=""[""","=""24.573170510510""","=""]""","=""0.000000000004""","=""L22715c201"""
"=""1s.31d""","=""3D""","=""3""",7,"=""[""","=""24.5732304674684""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.31d""","=""3D""","=""2""",5,"=""[""","=""24.5732304678216""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.31d""","=""3D""","=""1""",3,"=""[""","=""24.5732304727194""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.31d""","=""1D""","=""2""",5,"=""[""","=""24.5732311750238""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.31f""","=""3F*""","=""3""",7,"=""[""","=""24.57323269433635""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31f""","=""3F*""","=""4""",9,"=""[""","=""24.57323269545730""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31f""","=""3F*""","=""2""",5,"=""[""","=""24.57323269774915""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31f""","=""1F*""","=""3""",7,"=""[""","=""24.57323270187993""","=""]""","=""0.00000000000025""","=""L22715c201"""
