obs_E(eV),unc_obs_E,ritz_wn(eV),unc_ritz_wn,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""0.1415984519307""","=""0.0000000000004""","=""""","=""2.504e+00""",AA,"=""[24.3097511655788]""","=""[24.45134961750954]""","=""1s.7g""","=""3G""","=""4""","=""1s.10h""","=""1H*""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415984329907""","=""0.0000000000004""","=""""","=""2.0079e+03""",AAA,"=""[24.3097511655788]""","=""[24.45134959856946]""","=""1s.7g""","=""3G""","=""4""","=""1s.10h""","=""3H*""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415983796468""","=""0.0000000000004""","=""""","=""7.7373e+04""",AAA,"=""[24.3097511655788]""","=""[24.45134954522564]""","=""1s.7g""","=""3G""","=""4""","=""1s.10h""","=""3H*""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415983269492""","=""0.0000000000004""","=""""","=""1.532e+03""",AA,"=""[24.3097512905603]""","=""[24.45134961750954]""","=""1s.7g""","=""3G""","=""5""","=""1s.10h""","=""1H*""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415983080091""","=""0.0000000000004""","=""""","=""3.9022e+01""",AAA,"=""[24.3097512905603]""","=""[24.45134959856946]""","=""1s.7g""","=""3G""","=""5""","=""1s.10h""","=""3H*""","=""4""",11,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415982826290""","=""0.0000000000004""","=""""","=""7.9019e+04""",AAA,"=""[24.3097512905603]""","=""[24.45134957318928]""","=""1s.7g""","=""3G""","=""5""","=""1s.10h""","=""3H*""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415982546653""","=""0.0000000000004""","=""""","=""1.6286e+03""",AAA,"=""[24.3097512905603]""","=""[24.45134954522564]""","=""1s.7g""","=""3G""","=""5""","=""1s.10h""","=""3H*""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415981942152""","=""0.0000000000004""","=""""","=""7.5117e+04""",AAA,"=""[24.3097514043543]""","=""[24.45134959856946]""","=""1s.7g""","=""3G""","=""3""","=""1s.10h""","=""3H*""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415981363396""","=""0.0000000000004""","=""""","=""7.7484e+04""",AAA,"=""[24.3097514811699]""","=""[24.45134961750954]""","=""1s.7g""","=""1G""","=""4""","=""1s.10h""","=""1H*""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415981173995""","=""0.0000000000004""","=""""","=""1.855e+03""",AA,"=""[24.3097514811699]""","=""[24.45134959856946]""","=""1s.7g""","=""1G""","=""4""","=""1s.10h""","=""3H*""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415980640557""","=""0.0000000000004""","=""""","=""1.676e+01""",AA,"=""[24.3097514811699]""","=""[24.45134954522564]""","=""1s.7g""","=""1G""","=""4""","=""1s.10h""","=""3H*""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159341627409""","=""0.00000000000014""","=""""","=""1.567e+00""",AA,"=""[24.30975684089325]""","=""[24.45135025716733]""","=""1s.7h""","=""3H*""","=""5""","=""1s.10i""","=""1I""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159340207504""","=""0.00000000000014""","=""""","=""1.2288e+03""",AAA,"=""[24.30975684089325]""","=""[24.45135024296829]""","=""1s.7h""","=""3H*""","=""5""","=""1s.10i""","=""3I""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159336458978""","=""0.00000000000014""","=""""","=""7.1605e+04""",AAA,"=""[24.30975684089325]""","=""[24.45135020548303]""","=""1s.7h""","=""3H*""","=""5""","=""1s.10i""","=""3I""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159333474728""","=""0.00000000000014""","=""""","=""9.830e+02""",AA,"=""[24.30975692242005]""","=""[24.45135025716733]""","=""1s.7h""","=""3H*""","=""6""","=""1s.10i""","=""1I""","=""6""",13,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159332054824""","=""0.00000000000014""","=""""","=""1.6677e+01""",AAA,"=""[24.30975692242005]""","=""[24.45135024296829]""","=""1s.7h""","=""3H*""","=""6""","=""1s.10i""","=""3I""","=""5""",13,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159330267666""","=""0.00000000000014""","=""""","=""7.2647e+04""",AAA,"=""[24.30975692242005]""","=""[24.45135022509671]""","=""1s.7h""","=""3H*""","=""6""","=""1s.10i""","=""3I""","=""7""",13,15,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159328306298""","=""0.00000000000014""","=""""","=""1.0350e+03""",AAA,"=""[24.30975692242005]""","=""[24.45135020548303]""","=""1s.7h""","=""3H*""","=""6""","=""1s.10i""","=""3I""","=""6""",13,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159324655100""","=""0.00000000000014""","=""""","=""7.0245e+04""",AAA,"=""[24.30975699641729]""","=""[24.45135024296829]""","=""1s.7h""","=""3H*""","=""4""","=""1s.10i""","=""3I""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159320553269""","=""0.00000000000014""","=""""","=""7.1662e+04""",AAA,"=""[24.30975705163464]""","=""[24.45135025716733]""","=""1s.7h""","=""1H*""","=""5""","=""1s.10i""","=""1I""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159319133364""","=""0.00000000000014""","=""""","=""1.156e+03""",AA,"=""[24.30975705163464]""","=""[24.45135024296829]""","=""1s.7h""","=""1H*""","=""5""","=""1s.10i""","=""3I""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159315384839""","=""0.00000000000014""","=""""","=""6.333e+00""",AA,"=""[24.30975705163464]""","=""[24.45135020548303]""","=""1s.7h""","=""1H*""","=""5""","=""1s.10i""","=""3I""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159094958626""","=""0.00000000000006""","=""""","=""2.5395e+00""",AAA,"=""[24.30975862360302]""","=""[24.45134957318928]""","=""1s.7i""","=""3I""","=""6""","=""1s.10h""","=""3H*""","=""6""",13,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159092162262""","=""0.00000000000006""","=""""","=""2.0763e+02""",AAA,"=""[24.30975862360302]""","=""[24.45134954522564]""","=""1s.7i""","=""3I""","=""6""","=""1s.10h""","=""3H*""","=""5""",13,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159089240401""","=""0.00000000000006""","=""""","=""2.0567e+02""",AAA,"=""[24.30975868078527]""","=""[24.45134957318928]""","=""1s.7i""","=""3I""","=""7""","=""1s.10h""","=""3H*""","=""6""",15,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159088461941""","=""0.00000000000006""","=""""","=""2.837e+00""",AA,"=""[24.30975873289013]""","=""[24.45134961750954]""","=""1s.7i""","=""3I""","=""5""","=""1s.10h""","=""1H*""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159086567933""","=""0.00000000000006""","=""""","=""2.1065e+02""",AAA,"=""[24.30975873289013]""","=""[24.45134959856946]""","=""1s.7i""","=""3I""","=""5""","=""1s.10h""","=""3H*""","=""4""",11,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159084322344""","=""0.00000000000006""","=""""","=""2.0780e+02""",AAA,"=""[24.30975877428610]""","=""[24.45134961750954]""","=""1s.7i""","=""1I""","=""6""","=""1s.10h""","=""1H*""","=""5""",13,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159081233551""","=""0.00000000000006""","=""""","=""3.0150e+00""",AAA,"=""[24.30975873289013]""","=""[24.45134954522564]""","=""1s.7i""","=""3I""","=""5""","=""1s.10h""","=""3H*""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159079890318""","=""0.00000000000006""","=""""","=""2.412e+00""",AA,"=""[24.30975877428610]""","=""[24.45134957318928]""","=""1s.7i""","=""1I""","=""6""","=""1s.10h""","=""3H*""","=""6""",13,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159069768707""","=""0.00000000000021""","=""""","=""1.5958e+01""",AAA,"=""[24.30975684089325]""","=""[24.45134753858031]""","=""1s.7h""","=""3H*""","=""5""","=""1s.10g""","=""3G""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159065486962""","=""0.00000000000021""","=""""","=""9.2662e+02""",AAA,"=""[24.30975684089325]""","=""[24.45134749576287]""","=""1s.7h""","=""3H*""","=""5""","=""1s.10g""","=""3G""","=""4""",11,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159061616027""","=""0.00000000000021""","=""""","=""9.1505e+02""",AAA,"=""[24.30975692242005]""","=""[24.45134753858031]""","=""1s.7h""","=""3H*""","=""6""","=""1s.10g""","=""3G""","=""5""",13,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159060759556""","=""0.00000000000021""","=""""","=""1.816e+01""",AA,"=""[24.30975699641729]""","=""[24.45134760401285]""","=""1s.7h""","=""3H*""","=""4""","=""1s.10g""","=""1G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159058119040""","=""0.00000000000021""","=""""","=""9.4633e+02""",AAA,"=""[24.30975699641729]""","=""[24.45134757760769]""","=""1s.7h""","=""3H*""","=""4""","=""1s.10g""","=""3G""","=""3""",9,7,,"=""T8636c73""","=""""",
