obs_E(eV),unc_obs_E,ritz_wn(eV),unc_ritz_wn,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""38.70967""","=""0.00012""","=""38.70968""","=""0.00015""","=""10*""","=""""",,"=""[20.96409636464]""","=""59.67378""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0,1,2""",3,9,,"=""""","=""L1341""",
"=""38.70967""","=""0.00012""","=""38.70956""","=""0.00015""","=""10*""","=""""",,"=""[20.96421885051]""","=""59.67378""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""0,1,2""",1,9,,"=""""","=""L1341""",
"=""38.70967""","=""0.00012""","=""38.70969""","=""0.00015""","=""10*""","=""""",,"=""[20.96408688908]""","=""59.67378""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""0,1,2""",5,9,,"=""""","=""L1341""",
"=""24.522""","=""0.003""","=""24.52702505""","=""0.00000015""","=""2""","=""""",,"=""[0.00000000]""","=""[24.527025054182]""","=""1s2""","=""1S""","=""0""","=""1s.15p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""24.515""","=""0.003""","=""24.51810159""","=""0.00000015""","=""3""","=""""",,"=""[0.00000000]""","=""[24.518101588364]""","=""1s2""","=""1S""","=""0""","=""1s.14p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""24.508""","=""0.003""","=""24.50704260""","=""0.00000015""","=""4""","=""""",,"=""[0.00000000]""","=""[24.507042603098]""","=""1s2""","=""1S""","=""0""","=""1s.13p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""24.488""","=""0.003""","=""24.49310806""","=""0.00000015""","=""5""","=""""",,"=""[0.00000000]""","=""[24.493108062951]""","=""1s2""","=""1S""","=""0""","=""1s.12p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""24.4757""","=""0.0010""","=""24.47520722""","=""0.00000015""","=""7""","=""""",,"=""[0.00000000]""","=""[24.475207217946]""","=""1s2""","=""1S""","=""0""","=""1s.11p""","=""1P*""","=""1""",1,3,,"=""""","=""L14922""",
"=""24.4506""","=""0.0010""","=""24.45167846""","=""0.00000014""","=""10""","=""1.5929e+07""",AAA,"=""[0.00000000]""","=""[24.451678459372]""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""24.4203""","=""0.0010""","=""24.41988931""","=""0.00000014""","=""15""","=""2.1826e+07""",AAA,"=""[0.00000000]""","=""[24.419889314325]""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""24.3761""","=""0.0010""","=""24.37546670""","=""0.00000014""","=""20""","=""3.1031e+07""",AAA,"=""[0.00000000]""","=""[24.375466697350]""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""24.3121""","=""0.0010""","=""24.31070818""","=""0.00000014""","=""25""","=""4.6224e+07""",AAA,"=""[0.00000000]""","=""[24.31070817873]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""""","=""""","=""24.30428920""","=""0.00000014""","=""""","=""1.07e-02""",C,"=""[0.00000000]""","=""[24.30428920147]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
"=""24.2124""","=""0.0009""","=""24.21100268""","=""0.00000014""","=""35""","=""7.3174e+07""",AAA,"=""[0.00000000]""","=""[24.21100267716]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""""","=""""","=""24.20924979""","=""0.00000014""","=""""","=""2.6480e+02""",AAA,"=""[0.00000000]""","=""[24.209249793955]""","=""1s2""","=""1S""","=""0""","=""1s.6d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""""","=""24.20081545""","=""0.00000014""","=""""","=""1.53e-02""",C,"=""[0.00000000]""","=""[24.20081545451]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
"=""24.0468""","=""0.0009""","=""24.04580041""","=""0.00000014""","=""50""","=""1.2582e+08""",AAA,"=""[0.00000000]""","=""[24.04580040653]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""""","=""""","=""24.04280341""","=""0.00000014""","=""""","=""4.3136e+02""",AAA,"=""[0.00000000]""","=""[24.042803412125]""","=""1s2""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""""","=""24.02822506""","=""0.00000014""","=""""","=""2.64e-02""",C,"=""[0.00000000]""","=""[24.0282250640]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
"=""23.7433""","=""0.0009""","=""23.74207007""","=""0.00000014""","=""100""","=""2.4356e+08""",AAA,"=""[0.00000000]""","=""[23.74207006880]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""""","=""""","=""23.73633504""","=""0.00000014""","=""""","=""7.4848e+02""",AAA,"=""[0.00000000]""","=""[23.73633503536]""","=""1s2""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""""","=""23.70789123""","=""0.00000014""","=""""","=""5.2e-02""",C,"=""[0.00000000]""","=""[23.7078912279]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
"=""23.087045""","=""0.000021""","=""23.08701853""","=""0.00000014""","=""400""","=""5.6634e+08""",AAA,"=""[0.00000000]""","=""[23.08701852960]""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L551""",
"=""""","=""""","=""23.07407480""","=""0.00000014""","=""""","=""1.299e+03""",AA,"=""[0.00000000]""","=""[23.07407479777]""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""""","=""23.00707315""","=""0.00000014""","=""""","=""1.21e-01""",C,"=""[0.00000000]""","=""[23.00707314571]""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
"=""21.218040""","=""0.000018""","=""21.21802271""","=""0.00000014""","=""1000""","=""1.7989e+09""",AAA,"=""[0.00000000]""","=""[21.2180227112]""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L551""",
"=""20.964096""","=""0.000018""","=""20.96409636""","=""0.00000014""","=""50""","=""1.764e+02""",AA,"=""[0.00000000]""","=""[20.96409636464]""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""T3585""","=""L551""",
"=""""","=""""","=""20.96408689""","=""0.00000014""","=""""","=""3.27e-01""",A,"=""[0.00000000]""","=""[20.96408688908]""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""T1494""","=""""",
"=""""","=""""","=""19.81961453""","=""0.00000014""","=""""","=""1.272e-04""",AA,"=""[0.00000000]""","=""[19.819614525]""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",1,3,M1,"=""T1896""","=""""",
"=""4.8086""","=""0.0006""","=""4.8081""","=""0.0006""","=""50""","=""""",,"=""58.311""","=""63.119""","=""2s.2p""","=""3P*""","=""0,1,2""","=""2p.3p""","=""3D""","=""1,2,3""",9,15,,"=""""","=""L1786""",
"=""4.629851""","=""0.000017""","=""4.62986326644""","=""0.00000000026""","=""1*""","=""4.4174e+05""",AAA,"=""[19.819614525]""","=""[24.44947779185]""","=""1s.2s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L14924""",
"=""4.629851""","=""0.000017""","=""4.62986243410""","=""0.00000000026""","=""1*""","=""4.4174e+05""",AAA,"=""[19.819614525]""","=""[24.44947695951]""","=""1s.2s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14924""",
"=""4.629851""","=""0.000017""","=""4.62986236639""","=""0.00000000026""","=""1*""","=""4.4174e+05""",AAA,"=""[19.819614525]""","=""[24.44947689179]""","=""1s.2s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14924""",
"=""4.597253""","=""0.000017""","=""4.59725559912""","=""0.00000000026""","=""1*""","=""6.0234e+05""",AAA,"=""[19.819614525]""","=""[24.41687012452]""","=""1s.2s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L14924""",
"=""4.597253""","=""0.000017""","=""4.59725445374""","=""0.00000000026""","=""1*""","=""6.0234e+05""",AAA,"=""[19.819614525]""","=""[24.41686897915]""","=""1s.2s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14924""",
"=""4.597253""","=""0.000017""","=""4.59725436052""","=""0.00000000026""","=""1*""","=""6.0234e+05""",AAA,"=""[19.819614525]""","=""[24.41686888593]""","=""1s.2s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14924""",
"=""4.551553""","=""0.000017""","=""4.55155312622""","=""0.00000000027""","=""1*""","=""8.4996e+05""",AAA,"=""[19.819614525]""","=""[24.37116765163]""","=""1s.2s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L14924""",
"=""4.551553""","=""0.000017""","=""4.55155148866""","=""0.00000000027""","=""1*""","=""8.4996e+05""",AAA,"=""[19.819614525]""","=""[24.37116601407]""","=""1s.2s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14924""",
"=""4.551553""","=""0.000017""","=""4.55155135537""","=""0.00000000027""","=""1*""","=""8.4996e+05""",AAA,"=""[19.819614525]""","=""[24.37116588077]""","=""1s.2s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14924""",
"=""""","=""""","=""4.48467733406""","=""0.00000000030""","=""2*""","=""1.2508e+06""",AAA,"=""[19.819614525]""","=""[24.30429185947]""","=""1s.2s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""4.48467487624""","=""0.00000000030""","=""2*""","=""1.2508e+06""",AAA,"=""[19.819614525]""","=""[24.30428940164]""","=""1s.2s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""4.48467467606""","=""0.00000000030""","=""2*""","=""1.2508e+06""",AAA,"=""[19.819614525]""","=""[24.30428920147]""","=""1s.2s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L366""",
"=""4.3981""","=""0.0005""","=""4.3982""","=""0.0006""","=""10""","=""""",,"=""59.67378""","=""64.0719""","=""2p2""","=""3P""","=""0,1,2""","=""2p.3d""","=""3P*""","=""0,1,2""",9,9,,"=""""","=""L1786""",
"=""""","=""""","=""4.38120518264""","=""0.00000000037""","=""4*""","=""1.9389e+06""",AAA,"=""[19.819614525]""","=""[24.20081970804]""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""4.38120124957""","=""0.00000000037""","=""4*""","=""1.9389e+06""",AAA,"=""[19.819614525]""","=""[24.20081577498]""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""4.38120092910""","=""0.00000000037""","=""4*""","=""1.9389e+06""",AAA,"=""[19.819614525]""","=""[24.20081545451]""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L366""",
"=""4.208608""","=""0.000014""","=""4.2086179735""","=""0.0000000005""","=""10*""","=""3.2006e+06""",AAA,"=""[19.819614525]""","=""[24.0282324989]""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L14925c72""",
"=""4.208608""","=""0.000014""","=""4.2086110990""","=""0.0000000005""","=""10*""","=""3.2006e+06""",AAA,"=""[19.819614525]""","=""[24.0282256244]""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14925c72""",
"=""4.208608""","=""0.000014""","=""4.2086105386""","=""0.0000000005""","=""10*""","=""3.2006e+06""",AAA,"=""[19.819614525]""","=""[24.0282250640]""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14925c72""",
"=""4.1128""","=""0.0004""","=""4.11280""","=""0.00021""","=""40""","=""""",,"=""59.67378""","=""63.78658""","=""2p2""","=""3P""","=""0,1,2""","=""2p.3d""","=""3D*""","=""1,2,3""",9,15,,"=""""","=""L1786""",
"=""""","=""""","=""3.8882914966""","=""0.0000000009""","=""""","=""5.6361e+06""",AAA,"=""[19.819614525]""","=""[23.7079060221]""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""3.888277""","=""0.000012""","=""3.8882778179""","=""0.0000000009""","=""20*""","=""5.6361e+06""",AAA,"=""[19.819614525]""","=""[23.7078923433]""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14925c72""",
"=""3.888277""","=""0.000012""","=""3.8882767025""","=""0.0000000009""","=""20*""","=""5.6361e+06""",AAA,"=""[19.819614525]""","=""[23.7078912279]""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14925c72""",
"=""3.835909""","=""0.000012""","=""3.8359036367""","=""0.0000000006""","=""0""","=""5.1015e+05""",AAA,"=""[20.615774823]""","=""[24.451678459372]""","=""1s.2s""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14924""",
"=""3.804113""","=""0.000012""","=""3.8041144916""","=""0.0000000006""","=""1""","=""6.9627e+05""",AAA,"=""[20.615774823]""","=""[24.419889314325]""","=""1s.2s""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14924""",
"=""""","=""""","=""3.7596918746""","=""0.0000000006""","=""""","=""9.8432e+05""",AAA,"=""[20.615774823]""","=""[24.375466697350]""","=""1s.2s""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""3.6949333560""","=""0.0000000006""","=""1""","=""1.4537e+06""",AAA,"=""[20.615774823]""","=""[24.31070817873]""","=""1s.2s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.5952278545""","=""0.0000000007""","=""2""","=""2.2691e+06""",AAA,"=""[20.615774823]""","=""[24.21100267716]""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.5934749713""","=""0.0000000006""","=""""","=""3.9163e+00""",AAA,"=""[20.615774823]""","=""[24.209249793955]""","=""1s.2s""","=""1S""","=""0""","=""1s.6d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""3.487178""","=""0.000010""","=""3.48718707946""","=""0.00000000025""","=""1*""","=""3.6386e+04""",AAA,"=""[20.96408688908]""","=""[24.451273968544]""","=""1s.2p""","=""3P*""","=""2""","=""1s.10d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""L551""",
"=""3.487178""","=""0.000010""","=""3.48718693336""","=""0.00000000025""","=""1*""","=""3.2745e+05""",AAA,"=""[20.96408688908]""","=""[24.451273822448]""","=""1s.2p""","=""3P*""","=""2""","=""1s.10d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L551""",
"=""3.487178""","=""0.000010""","=""3.48718692297""","=""0.00000000025""","=""1*""","=""1.3099e+05""",AAA,"=""[20.96408688908]""","=""[24.451273812052]""","=""1s.2p""","=""3P*""","=""2""","=""1s.10d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L551""",
"=""3.487178""","=""0.000010""","=""3.48717760391""","=""0.00000000025""","=""1*""","=""5.4579e+05""",AAA,"=""[20.96409636464]""","=""[24.451273968544]""","=""1s.2p""","=""3P*""","=""1""","=""1s.10d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L551""",
"=""3.487178""","=""0.000010""","=""3.48717745781""","=""0.00000000025""","=""1*""","=""9.8235e+05""",AAA,"=""[20.96409636464]""","=""[24.451273822448]""","=""1s.2p""","=""3P*""","=""1""","=""1s.10d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L551""",
"=""""","=""""","=""3.48705511803""","=""0.00000000025""","=""""","=""7.2772e+05""",AAA,"=""[20.96421885051]""","=""[24.451273968544]""","=""1s.2p""","=""3P*""","=""0""","=""1s.10d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""3.478797""","=""0.000010""","=""3.4788065082""","=""0.0000000003""","=""0*""","=""2.6868e+05""",AAA,"=""[20.96408688908]""","=""[24.44289339729]""","=""1s.2p""","=""3P*""","=""2""","=""1s.10s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L366""",
"=""3.478797""","=""0.000010""","=""3.4787970327""","=""0.0000000003""","=""0*""","=""1.6121e+05""",AAA,"=""[20.96409636464]""","=""[24.44289339729]""","=""1s.2p""","=""3P*""","=""1""","=""1s.10s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.4786745468""","=""0.0000000003""","=""""","=""5.3735e+04""",AAA,"=""[20.96421885051]""","=""[24.44289339729]""","=""1s.2p""","=""3P*""","=""0""","=""1s.10s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""3.455241""","=""0.000010""","=""3.45524889064""","=""0.00000000025""","=""1*""","=""5.0298e+04""",AAA,"=""[20.96408688908]""","=""[24.419335779720]""","=""1s.2p""","=""3P*""","=""2""","=""1s.9d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""L551""",
"=""3.455241""","=""0.000010""","=""3.45524869016""","=""0.00000000025""","=""1*""","=""4.5265e+05""",AAA,"=""[20.96408688908]""","=""[24.419335579246]""","=""1s.2p""","=""3P*""","=""2""","=""1s.9d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L551""",
"=""3.455241""","=""0.000010""","=""3.45524867594""","=""0.00000000025""","=""1*""","=""1.8107e+06""",AAA,"=""[20.96408688908]""","=""[24.419335565023]""","=""1s.2p""","=""3P*""","=""2""","=""1s.9d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L551""",
"=""3.455241""","=""0.000010""","=""3.45523941508""","=""0.00000000025""","=""1*""","=""7.5448e+05""",AAA,"=""[20.96409636464]""","=""[24.419335779720]""","=""1s.2p""","=""3P*""","=""1""","=""1s.9d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L551""",
"=""3.455241""","=""0.000010""","=""3.45523921461""","=""0.00000000025""","=""1*""","=""1.3580e+06""",AAA,"=""[20.96409636464]""","=""[24.419335579246]""","=""1s.2p""","=""3P*""","=""1""","=""1s.9d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L551""",
"=""""","=""""","=""3.45511692921""","=""0.00000000025""","=""0""","=""1.0060e+06""",AAA,"=""[20.96421885051]""","=""[24.419335779720]""","=""1s.2p""","=""3P*""","=""0""","=""1s.9d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L551""",
"=""""","=""""","=""3.4436884901""","=""0.0000000004""","=""""","=""3.7358e+05""",AAA,"=""[20.96408688908]""","=""[24.40777537914]""","=""1s.2p""","=""3P*""","=""2""","=""1s.9s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""3.4436790145""","=""0.0000000004""","=""""","=""2.2415e+05""",AAA,"=""[20.96409636464]""","=""[24.40777537914]""","=""1s.2p""","=""3P*""","=""1""","=""1s.9s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""3.4435565286""","=""0.0000000004""","=""""","=""7.4716e+04""",AAA,"=""[20.96421885051]""","=""[24.40777537914]""","=""1s.2p""","=""3P*""","=""0""","=""1s.9s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""3.430025""","=""0.000009""","=""3.4300255838""","=""0.0000000007""","=""3""","=""3.8022e+06""",AAA,"=""[20.615774823]""","=""[24.04580040653]""","=""1s.2s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14925c72""",
"=""""","=""""","=""3.4270285894""","=""0.0000000006""","=""""","=""8.2983e+00""",AAA,"=""[20.615774823]""","=""[24.042803412125]""","=""1s.2s""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""""","=""3.41059429666""","=""0.00000000025""","=""2*""","=""7.2396e+04""",AAA,"=""[20.96408688908]""","=""[24.374681185743]""","=""1s.2p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.41059401113""","=""0.00000000025""","=""2*""","=""6.5151e+05""",AAA,"=""[20.96408688908]""","=""[24.374680900214]""","=""1s.2p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.41059399099""","=""0.00000000025""","=""2*""","=""2.6063e+06""",AAA,"=""[20.96408688908]""","=""[24.374680880069]""","=""1s.2p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.41058482111""","=""0.00000000025""","=""2*""","=""1.0859e+06""",AAA,"=""[20.96409636464]""","=""[24.374681185743]""","=""1s.2p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.41058453558""","=""0.00000000025""","=""2*""","=""1.9546e+06""",AAA,"=""[20.96409636464]""","=""[24.374680900214]""","=""1s.2p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.41046233523""","=""0.00000000025""","=""0""","=""1.4479e+06""",AAA,"=""[20.96421885051]""","=""[24.374681185743]""","=""1s.2p""","=""3P*""","=""0""","=""1s.8d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""3.394009""","=""0.000009""","=""3.3940172550""","=""0.0000000004""","=""1*""","=""5.4136e+05""",AAA,"=""[20.96408688908]""","=""[24.3581041440]""","=""1s.2p""","=""3P*""","=""2""","=""1s.8s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L366""",
"=""3.394009""","=""0.000009""","=""3.3940077794""","=""0.0000000004""","=""1*""","=""3.2481e+05""",AAA,"=""[20.96409636464]""","=""[24.3581041440]""","=""1s.2p""","=""3P*""","=""1""","=""1s.8s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.3938852935""","=""0.0000000004""","=""0""","=""1.0827e+05""",AAA,"=""[20.96421885051]""","=""[24.3581041440]""","=""1s.2p""","=""3P*""","=""0""","=""1s.8s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""3.345446""","=""0.000009""","=""3.34545446452""","=""0.00000000025""","=""3*""","=""1.0980e+05""",AAA,"=""[20.96408688908]""","=""[24.309541353601]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""L14925c72""",
"=""3.345446""","=""0.000009""","=""3.34545403808""","=""0.00000000025""","=""3*""","=""9.8814e+05""",AAA,"=""[20.96408688908]""","=""[24.309540927161]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L14925c72""",
"=""3.345446""","=""0.000009""","=""3.34545400822""","=""0.00000000025""","=""3*""","=""3.9529e+06""",AAA,"=""[20.96408688908]""","=""[24.309540897300]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L14925c72""",
"=""3.345446""","=""0.000009""","=""3.34544498896""","=""0.00000000025""","=""3*""","=""1.6470e+06""",AAA,"=""[20.96409636464]""","=""[24.309541353601]""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L14925c72""",
"=""3.345446""","=""0.000009""","=""3.34544456252""","=""0.00000000025""","=""3*""","=""2.9644e+06""",AAA,"=""[20.96409636464]""","=""[24.309540927161]""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L14925c72""",
"=""""","=""""","=""3.34532250309""","=""0.00000000025""","=""0""","=""2.1961e+06""",AAA,"=""[20.96421885051]""","=""[24.309541353601]""","=""1s.2p""","=""3P*""","=""0""","=""1s.7d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.3204791478""","=""0.0000000005""","=""1*""","=""8.2750e+05""",AAA,"=""[20.96408688908]""","=""[24.2845660369]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.3204696722""","=""0.0000000005""","=""1*""","=""4.9650e+05""",AAA,"=""[20.96409636464]""","=""[24.2845660369]""","=""1s.2p""","=""3P*""","=""1""","=""1s.7s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.3203471864""","=""0.0000000005""","=""""","=""1.6550e+05""",AAA,"=""[20.96421885051]""","=""[24.2845660369]""","=""1s.2p""","=""3P*""","=""0""","=""1s.7s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""3.2450723""","=""0.0000007""","=""3.24507694596""","=""0.00000000025""","=""10*""","=""1.7876e+05""",AAA,"=""[20.96408688908]""","=""[24.209163835045]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""L14926""",
"=""3.2450723""","=""0.0000007""","=""3.24507626825""","=""0.00000000025""","=""10*""","=""1.6087e+06""",AAA,"=""[20.96408688908]""","=""[24.209163157329]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L14926""",
"=""3.2450723""","=""0.0000007""","=""3.24507622136""","=""0.00000000025""","=""10*""","=""6.4353e+06""",AAA,"=""[20.96408688908]""","=""[24.209163110443]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L14926""",
