   j      e(j)         levid         stwt


  1.2619E-13 1.1245E-13 1.0020E-13 8.9282E-14 7.9547E-14 7.0867E-14 6.3126E-14
  5.6223E-14 5.0066E-14 4.4574E-14 3.9673E-14 3.5299E-14 3.1394E-14 2.7906E-14
  2.4790E-14 2.2003E-14 1.9511E-14 1.7279E-14 1.5278E-14 1.3483E-14 1.1870E-14
  1.0418E-14 9.1100E-15 7.9313E-15 6.8700E-15 5.9164E-15 5.0622E-15 4.3003E-15
  3.6246E-15 3.0291E-15 2.5086E-15 2.0582E-15 1.6791E-15 1.4022E-15 1.3322E-15
  1.6479E-15 2.4843E-15 3.7723E-15 5.2136E-15 6.4278E-15 7.1364E-15 7.2475E-15
  6.8508E-15 6.1061E-15 5.1960E-15 4.2597E-15 3.3883E-15 2.6322E-15 2.0076E-15
  1.5079E-15 1.1198E-15 8.2258E-16 6.0056E-16 4.3593E-16 3.1353E-16 2.2554E-16
  1.6177E-16 1.1565E-16 8.2593E-17 5.8908E-17 4.1967E-17 2.9866E-17 2.1245E-17
  1.5105E-17 1.0737E-17 7.6318E-18 5.4244E-18 3.8561E-18 2.7421E-18 1.9509E-18
  1.3889E-18 9.8961E-19 7.0593E-19 5.0428E-19 3.6090E-19 2.5886E-19 1.8623E-19
 10110101.0410 -6.2029E-02  9.9094E-14  8.8313E-14  7.8703E-14  7.0138E-14
  6.2504E-14 5.5698E-14 4.9631E-14 4.4222E-14 3.9400E-14 3.5099E-14 3.1264E-14
  2.7843E-14 2.4791E-14 2.2068E-14 1.9638E-14 1.7468E-14 1.5530E-14 1.3799E-14
  1.2251E-14 1.0866E-14 9.6266E-15 8.5156E-15 7.5191E-15 6.6244E-15 5.8205E-15
  5.0978E-15 4.4478E-15 3.8635E-15 3.3388E-15 2.8686E-15 2.4486E-15 2.0751E-15
  1.7447E-15 1.4544E-15 1.2015E-15 9.8357E-16 8.0227E-16 6.8251E-16 7.1165E-16
  1.0486E-15 1.8290E-15 3.0168E-15 4.3641E-15 5.5304E-15 6.2523E-15 6.4352E-15
  6.1408E-15 5.5149E-15 4.7192E-15 3.8856E-15 3.1027E-15 2.4179E-15 1.8483E-15
  1.3913E-15 1.0346E-15 7.6189E-16 5.5684E-16 4.0451E-16 2.9231E-16 2.1050E-16
  1.5113E-16 1.0823E-16 7.7372E-17 5.5234E-17 3.9388E-17 2.8041E-17 1.9957E-17
  1.4196E-17 1.0093E-17 7.1730E-18 5.0965E-18 3.6205E-18 2.5715E-18 1.8263E-18
  1.2970E-18 9.2111E-19 6.5414E-19 4.6465E-19 3.3005E-19 2.3442E-19 1.6660E-19
 10110101.0510 -3.9754E-02  5.6855E-14  5.0670E-14  4.5158E-14  4.0245E-14
  3.5865E-14 3.1961E-14 2.8480E-14 2.5377E-14 2.2610E-14 2.0142E-14 1.7940E-14
  1.5975E-14 1.4222E-14 1.2658E-14 1.1261E-14 1.0014E-14 8.8997E-15 7.9036E-15
  7.0128E-15 6.2155E-15 5.5013E-15 4.8611E-15 4.2867E-15 3.7710E-15 3.3078E-15
  2.8916E-15 2.5178E-15 2.1823E-15 1.8816E-15 1.6129E-15 1.3735E-15 1.1612E-15
  9.7404E-16 8.1018E-16 6.6787E-16 5.4572E-16 4.4596E-16 3.9175E-16 4.6484E-16
  8.1787E-16 1.5875E-15 2.7504E-15 4.0760E-15 5.2366E-15 5.9721E-15 6.1841E-15
  5.9265E-15 5.3393E-15 4.5792E-15 3.7766E-15 3.0191E-15 2.3546E-15 1.8007E-15
  1.3557E-15 1.0082E-15 7.4238E-16 5.4241E-16 3.9386E-16 2.8457E-16 2.0482E-16
  1.4696E-16 1.0519E-16 7.5145E-17 5.3606E-17 3.8199E-17 2.7174E-17 1.9325E-17
  1.3734E-17 9.7566E-18 6.9282E-18 4.9182E-18 3.4905E-18 2.4769E-18 1.7573E-18
  1.2466E-18 8.8432E-19 6.2722E-19 4.4493E-19 3.1557E-19 2.2377E-19 1.5871E-19
 10110101.0610 -2.7633E-02  3.5876E-14  3.1975E-14  2.8497E-14  2.5398E-14
  2.2635E-14 2.0172E-14 1.7976E-14 1.6018E-14 1.4272E-14 1.2713E-14 1.1322E-14
  1.0081E-14 8.9725E-15 7.9830E-15 7.0992E-15 6.3095E-15 5.6038E-15 4.9727E-15
  4.4080E-15 3.9024E-15 3.4494E-15 3.0433E-15 2.6791E-15 2.3521E-15 2.0587E-15
  1.7955E-15 1.5594E-15 1.3480E-15 1.1592E-15 9.9085E-16 8.4145E-16 7.0947E-16
  5.9355E-16 4.9246E-16 4.0500E-16 3.3033E-16 2.7136E-16 2.5302E-16 3.6304E-16
  7.6698E-16 1.6164E-15 2.8918E-15 4.3472E-15 5.6272E-15 6.4468E-15 6.6952E-15
  6.4293E-15 5.8002E-15 4.9792E-15 4.1089E-15 3.2858E-15 2.5629E-15 1.9599E-15
  1.4753E-15 1.0967E-15 8.0720E-16 5.8947E-16 4.2778E-16 3.0886E-16 2.2215E-16
  1.5928E-16 1.1392E-16 8.1311E-17 5.7939E-17 4.1243E-17 2.9331E-17 2.0840E-17
  1.4799E-17 1.0503E-17 7.4517E-18 5.2851E-18 3.7476E-18 2.6569E-18 1.8834E-18
  1.3349E-18 9.4612E-19 6.7048E-19 4.7520E-19 3.3679E-19 2.3881E-19 1.6921E-19
 10110101.0710 -2.0316E-02  2.4325E-14  2.1681E-14  1.9325E-14  1.7224E-14
  1.5352E-14 1.3683E-14 1.2195E-14 1.0867E-14 9.6823E-15 8.6247E-15 7.6803E-15
  6.8368E-15 6.0833E-15 5.4100E-15 4.8084E-15 4.2707E-15 3.7898E-15 3.3596E-15
  2.9746E-15 2.6298E-15 2.3210E-15 2.0441E-15 1.7959E-15 1.5734E-15 1.3739E-15
  1.1953E-15 1.0355E-15 8.9287E-16 7.6578E-16 6.5290E-16 5.5306E-16 4.6518E-16
  3.8828E-16 3.2145E-16 2.6383E-16 2.1485E-16 1.7710E-16 1.7181E-16 2.7392E-16
  6.2570E-16 1.3588E-15 2.4590E-15 3.7163E-15 4.8251E-15 5.5385E-15 5.7597E-15
  5.5363E-15 4.9981E-15 4.2930E-15 3.5441E-15 2.8350E-15 2.2118E-15 1.6916E-15
  1.2735E-15 9.4677E-16 6.9686E-16 5.0889E-16 3.6930E-16 2.6662E-16 1.9176E-16
  1.3748E-16 9.8318E-17 7.0170E-17 4.9993E-17 3.5590E-17 2.5305E-17 1.7978E-17
  1.2765E-17 9.0590E-18 6.4265E-18 4.5576E-18 3.2315E-18 2.2908E-18 1.6237E-18
  1.1508E-18 8.1558E-19 5.7790E-19 4.0961E-19 2.9031E-19 2.0591E-19 1.4587E-19
 10110101.0810 -1.5563E-02  1.7399E-14  1.5510E-14  1.3825E-14  1.2324E-14
  1.0986E-14 9.7933E-15 8.7294E-15 7.7800E-15 6.9324E-15 6.1751E-15 5.4982E-15
  4.8931E-15 4.3520E-15 3.8683E-15 3.4357E-15 3.0488E-15 2.7028E-15 2.3931E-15
  2.1158E-15 1.8676E-15 1.6453E-15 1.4463E-15 1.2680E-15 1.1084E-15 9.6563E-16
  8.3807E-16 7.2427E-16 6.2296E-16 5.3300E-16 4.5338E-16 3.8319E-16 3.2161E-16
  2.6791E-16 2.2139E-16 1.8141E-16 1.4762E-16 1.2321E-16 1.3226E-16 2.5941E-16
  6.6600E-16 1.5025E-15 2.7548E-15 4.1866E-15 5.4512E-15 6.2679E-15 6.5253E-15
  6.2770E-15 5.6698E-15 4.8716E-15 4.0227E-15 3.2184E-15 2.5111E-15 1.9206E-15
  1.4459E-15 1.0749E-15 7.9113E-16 5.7770E-16 4.1919E-16 3.0260E-16 2.1760E-16
  1.5599E-16 1.1154E-16 7.9596E-17 5.6703E-17 4.0360E-17 2.8691E-17 2.0381E-17
  1.4468E-17 1.0266E-17 7.2817E-18 5.1632E-18 3.6603E-18 2.5944E-18 1.8386E-18
  1.3029E-18 9.2325E-19 6.5412E-19 4.6356E-19 3.2851E-19 2.3293E-19 1.6502E-19
 10110101.0910 -1.2302E-02  1.2953E-14  1.1547E-14  1.0295E-14  9.1791E-15
  8.1844E-15 7.2975E-15 6.5064E-15 5.8001E-15 5.1691E-15 4.6047E-15 4.0997E-15
  3.6477E-15 3.2430E-15 2.8809E-15 2.5568E-15 2.2667E-15 2.0071E-15 1.7747E-15
  1.5667E-15 1.3805E-15 1.2139E-15 1.0649E-15 9.3159E-16 8.1250E-16 7.0622E-16
  6.1150E-16 5.2723E-16 4.5245E-16 3.8625E-16 3.2785E-16 2.7654E-16 2.3167E-16
  1.9266E-16 1.5895E-16 1.3006E-16 1.0578E-16 8.9382E-17 1.0483E-16 2.3633E-16
  6.4479E-16 1.4811E-15 2.7323E-15 4.1638E-15 5.4297E-15 6.2490E-15 6.5097E-15
  6.2648E-15 5.6606E-15 4.8649E-15 4.0178E-15 3.2149E-15 2.5085E-15 1.9187E-15
  1.4445E-15 1.0739E-15 7.9034E-16 5.7711E-16 4.1875E-16 3.0225E-16 2.1734E-16
  1.5580E-16 1.1139E-16 7.9486E-17 5.6623E-17 4.0298E-17 2.8645E-17 2.0347E-17
  1.4443E-17 1.0248E-17 7.2681E-18 5.1533E-18 3.6530E-18 2.5891E-18 1.8348E-18
  1.3001E-18 9.2127E-19 6.5273E-19 4.6257E-19 3.2781E-19 2.3242E-19 1.6469E-19
 10200101.0320 -1.1123E-01  2.3074E-13  2.0561E-13  1.8320E-13  1.6323E-13
  1.4542E-13 1.2954E-13 1.1538E-13 1.0275E-13 9.1488E-14 8.1435E-14 7.2462E-14
  6.4451E-14 5.7296E-14 5.0903E-14 4.5187E-14 4.0073E-14 3.5495E-14 3.1393E-14
  2.7714E-14 2.4411E-14 2.1443E-14 1.8775E-14 1.6375E-14 1.4217E-14 1.2277E-14
  1.0536E-14 8.9798E-15 7.5943E-15 6.3686E-15 5.2926E-15 4.3565E-15 3.5502E-15
  2.8635E-15 2.2857E-15 1.8054E-15 1.4116E-15 1.0945E-15 8.5369E-16 7.1262E-16
  7.2224E-16 9.2548E-16 1.3024E-15 1.7551E-15 2.1526E-15 2.3938E-15 2.4413E-15
  2.3163E-15 2.0722E-15 1.7679E-15 1.4522E-15 1.1571E-15 8.9996E-16 6.8662E-16
  5.1588E-16 3.8291E-16 2.8145E-16 2.0530E-16 1.4884E-16 1.0736E-16 7.7155E-17
  5.5278E-17 3.9506E-17 2.8181E-17 2.0071E-17 1.4277E-17 1.0147E-17 7.2056E-18
  5.1138E-18 3.6275E-18 2.5722E-18 1.8234E-18 1.2923E-18 9.1573E-19 6.4881E-19
  4.5965E-19 3.2562E-19 2.3068E-19 1.6341E-19 1.1578E-19 8.2013E-20 5.8119E-20
 10200101.0420 -6.2550E-02  1.4422E-13  1.2851E-13  1.1451E-13  1.0203E-13
  9.0900E-14 8.0978E-14 7.2129E-14 6.4237E-14 5.7196E-14 5.0912E-14 4.5304E-14
  4.0296E-14 3.5822E-14 3.1824E-14 2.8250E-14 2.5052E-14 2.2188E-14 1.9621E-14
  1.7318E-14 1.5251E-14 1.3393E-14 1.1722E-14 1.0219E-14 8.8682E-15 7.6546E-15
  6.5668E-15 5.5950E-15 4.7306E-15 3.9663E-15 3.2956E-15 2.7120E-15 2.2094E-15
  1.7814E-15 1.4213E-15 1.1221E-15 8.7697E-16 6.8148E-16 5.4601E-16 5.2230E-16
  7.1284E-16 1.2103E-15 1.9961E-15 2.9059E-15 3.7069E-15 4.2141E-15 4.3563E-15
  4.1704E-15 3.7542E-15 3.2176E-15 2.6518E-15 2.1185E-15 1.6511E-15 1.2617E-15
  9.4918E-16 7.0526E-16 5.1887E-16 3.7876E-16 2.7477E-16 1.9833E-16 1.4261E-16
  1.0222E-16 7.3085E-17 5.2156E-17 3.7162E-17 2.6438E-17 1.8799E-17 1.3354E-17
  9.4803E-18 6.7269E-18 4.7714E-18 3.3833E-18 2.3984E-18 1.6999E-18 1.2047E-18
  8.5363E-19 6.0482E-19 4.2854E-19 3.0358E-19 2.1508E-19 1.5233E-19 1.0796E-19
 10200101.0520 -4.0032E-02  8.8264E-14  7.8654E-14  7.0088E-14  6.2452E-14
  5.5643E-14 4.9573E-14 4.4159E-14 3.9330E-14 3.5021E-14 3.1176E-14 2.7743E-14
  2.4677E-14 2.1938E-14 1.9490E-14 1.7300E-14 1.5341E-14 1.3587E-14 1.2014E-14
  1.0603E-14 9.3361E-15 8.1973E-15 7.1731E-15 6.2518E-15 5.4233E-15 4.6791E-15
  4.0122E-15 3.4165E-15 2.8869E-15 2.4188E-15 2.0083E-15 1.6514E-15 1.3444E-15
  1.0831E-15 8.6351E-16 6.8127E-16 5.3240E-16 4.1822E-16 3.7120E-16 5.1327E-16
  1.0781E-15 2.2806E-15 4.0929E-15 6.1642E-15 7.9874E-15 9.1555E-15 9.5106E-15
  9.1331E-15 8.2386E-15 7.0710E-15 5.8335E-15 4.6637E-15 3.6364E-15 2.7797E-15
  2.0916E-15 1.5543E-15 1.1435E-15 8.3469E-16 6.0546E-16 4.3699E-16 3.1416E-16
  2.2514E-16 1.6094E-16 1.1482E-16 8.1792E-17 5.8186E-17 4.1356E-17 2.9369E-17
  2.0844E-17 1.4786E-17 1.0484E-17 7.4318E-18 5.2668E-18 3.7318E-18 2.6437E-18
  1.8727E-18 1.3264E-18 9.3938E-19 6.6524E-19 4.7109E-19 3.3358E-19 2.3623E-19
 10200101.0620 -2.7794E-02  5.6793E-14  5.0613E-14  4.5103E-14  4.0192E-14
  3.5813E-14 3.1909E-14 2.8427E-14 2.5321E-14 2.2549E-14 2.0074E-14 1.7864E-14
  1.5890E-14 1.4125E-14 1.2548E-14 1.1136E-14 9.8732E-15 8.7417E-15 7.7273E-15
  6.8171E-15 5.9995E-15 5.2646E-15 4.6037E-15 4.0092E-15 3.4748E-15 2.9950E-15
  2.5653E-15 2.1819E-15 1.8414E-15 1.5408E-15 1.2777E-15 1.0493E-15 8.5308E-16
  6.8645E-16 5.4664E-16 4.3082E-16 3.3710E-16 2.7563E-16 3.2820E-16 7.8340E-16
  2.1898E-15 5.0551E-15 9.3239E-15 1.4188E-14 1.8470E-14 2.1224E-14 2.2081E-14
  2.1226E-14 1.9161E-14 1.6456E-14 1.3583E-14 1.0865E-14 8.4761E-15 6.4828E-15
  4.8809E-15 3.6292E-15 2.6719E-15 1.9517E-15 1.4168E-15 1.0234E-15 7.3631E-16
  5.2813E-16 3.7785E-16 2.6983E-16 1.9238E-16 1.3695E-16 9.7452E-17 6.9272E-17
  4.9210E-17 3.4941E-17 2.4800E-17 1.7597E-17 1.2483E-17 8.8535E-18 6.2783E-18
  4.4516E-18 3.1561E-18 2.2377E-18 1.5862E-18 1.1244E-18 7.9683E-19 5.6500E-19
 10200101.0720 -2.0417E-02  3.8679E-14  3.4472E-14  3.0723E-14  2.7380E-14
  2.4400E-14 2.1743E-14 1.9374E-14 1.7259E-14 1.5371E-14 1.3685E-14 1.2179E-14
  1.0832E-14 9.6279E-15 8.5509E-15 7.5872E-15 6.7242E-15 5.9510E-15 5.2577E-15
  4.6354E-15 4.0764E-15 3.5741E-15 3.1224E-15 2.7163E-15 2.3514E-15 2.0242E-15
  1.7315E-15 1.4707E-15 1.2395E-15 1.0357E-15 8.5767E-16 7.0342E-16 5.7118E-16
  4.5907E-16 3.6518E-16 2.8841E-16 2.5465E-16 6.3533E-16 3.8554E-15 1.8282E-14
  5.9758E-14 1.4296E-13 2.6636E-13 4.0675E-13 5.3032E-13 6.0983E-13 6.3468E-13
  6.1021E-13 5.5089E-13 4.7309E-13 3.9045E-13 3.1224E-13 2.4352E-13 1.8618E-13
  1.4011E-13 1.0412E-13 7.6609E-14 5.5922E-14 4.0565E-14 2.9279E-14 2.1049E-14
  1.5085E-14 1.0783E-14 7.6932E-15 5.4800E-15 3.8985E-15 2.7707E-15 1.9676E-15
  1.3964E-15 9.9052E-16 7.0234E-16 4.9784E-16 3.5280E-16 2.4997E-16 1.7708E-16
  1.2543E-16 8.8833E-17 6.2911E-17 4.4550E-17 3.1547E-17 2.2337E-17 1.5817E-17
 10200101.0820 -1.5631E-02  2.7606E-14  2.4606E-14  2.1933E-14  1.9550E-14
  1.7425E-14 1.5531E-14 1.3841E-14 1.2333E-14 1.0986E-14 9.7819E-15 8.7052E-15
  7.7421E-15 6.8803E-15 6.1089E-15 5.4183E-15 4.7996E-15 4.2451E-15 3.7477E-15
  3.3013E-15 2.9003E-15 2.5401E-15 2.2164E-15 1.9256E-15 1.6647E-15 1.4310E-15
  1.2223E-15 1.0367E-15 8.7241E-16 7.2800E-16 6.0202E-16 4.9312E-16 3.9994E-16
  3.2109E-16 2.5516E-16 2.0078E-16 1.5912E-16 1.6342E-16 4.3807E-16 1.7613E-15
  5.6103E-15 1.3357E-14 2.4862E-14 3.7965E-14 4.9508E-14 5.6942E-14 5.9274E-14
  5.7000E-14 5.1467E-14 4.4205E-14 3.6488E-14 2.9184E-14 2.2764E-14 1.7406E-14
  1.3101E-14 9.7376E-15 7.1659E-15 5.2319E-15 3.7959E-15 2.7403E-15 1.9704E-15
  1.4124E-15 1.0099E-15 7.2065E-16 5.1344E-16 3.6532E-16 2.5972E-16 1.8448E-16
  1.3096E-16 9.2915E-17 6.5898E-17 4.6723E-17 3.3119E-17 2.3471E-17 1.6631E-17
  1.1783E-17 8.3476E-18 5.9134E-18 4.1886E-18 2.9668E-18 2.1012E-18 1.4883E-18
 10200101.0920 -1.2350E-02  2.0474E-14  1.8252E-14  1.6272E-14  1.4507E-14
  1.2934E-14 1.1531E-14 1.0279E-14 9.1615E-15 8.1627E-15 7.2690E-15 6.4690E-15
  5.7526E-15 5.1108E-15 4.5359E-15 4.0209E-15 3.5592E-15 3.1454E-15 2.7742E-15
  2.4410E-15 2.1420E-15 1.8735E-15 1.6325E-15 1.4162E-15 1.2225E-15 1.0493E-15
  8.9486E-16 7.5781E-16 6.3681E-16 5.3066E-16 4.3825E-16 3.5854E-16 2.9046E-16
  2.3296E-16 1.8495E-16 1.4537E-16 1.1346E-16 9.2425E-17 1.0896E-16 2.5775E-16
  7.1932E-16 1.6616E-15 3.0675E-15 4.6716E-15 6.0861E-15 6.9978E-15 7.2838E-15
  7.0048E-15 6.3258E-15 5.4343E-15 4.4870E-15 3.5900E-15 2.8015E-15 2.1433E-15
  1.6141E-15 1.2005E-15 8.8411E-16 6.4601E-16 4.6910E-16 3.3892E-16 2.4393E-16
  1.7503E-16 1.2526E-16 8.9484E-17 6.3822E-17 4.5445E-17 3.2352E-17 2.3006E-17
  1.6349E-17 1.1613E-17 8.2457E-18 5.8530E-18 4.1536E-18 2.9471E-18 2.0908E-18
  1.4831E-18 1.0519E-18 7.4618E-19 5.2916E-19 3.7529E-19 2.6608E-19 1.8880E-19
 10200101.1020 -1.0003E-02  1.5659E-14  1.3962E-14  1.2451E-14  1.1103E-14
  9.9025E-15 8.8317E-15 7.8762E-15 7.0226E-15 6.2590E-15 5.5751E-15 4.9619E-15
  4.4120E-15 3.9187E-15 3.4763E-15 3.0795E-15 2.7237E-15 2.4046E-15 2.1183E-15
  1.8616E-15 1.6312E-15 1.4246E-15 1.2394E-15 1.0735E-15 9.2513E-16 7.9277E-16
  6.7505E-16 5.7080E-16 4.7896E-16 3.9858E-16 3.2877E-16 2.6866E-16 2.1742E-16
  1.7421E-16 1.3820E-16 1.0855E-16 8.4893E-17 7.2568E-17 1.1097E-16 3.3889E-16
  1.0219E-15 2.4092E-15 4.4793E-15 6.8447E-15 8.9349E-15 1.0287E-14 1.0717E-14
  1.0314E-14 9.3182E-15 8.0075E-15 6.6127E-15 5.2909E-15 4.1285E-15 3.1579E-15
  2.3776E-15 1.7677E-15 1.3013E-15 9.5034E-16 6.8970E-16 4.9805E-16 3.5824E-16
  2.5687E-16 1.8371E-16 1.3114E-16 9.3465E-17 6.6517E-17 4.7308E-17 3.3614E-17
  2.3869E-17 1.6941E-17 1.2019E-17 8.5245E-18 6.0444E-18 4.2851E-18 3.0374E-18
  2.1527E-18 1.5255E-18 1.0811E-18 7.6599E-19 5.4273E-19 3.8448E-19 2.7246E-19
 10310101.0430 -6.2508E-02  1.0757E-13  9.5834E-14  8.5368E-14  7.6034E-14
  6.7709E-14 6.0281E-14 5.3653E-14 4.7735E-14 4.2450E-14 3.7727E-14 3.3505E-14
  2.9727E-14 2.6345E-14 2.3315E-14 2.0598E-14 1.8159E-14 1.5968E-14 1.3998E-14
  1.2227E-14 1.0633E-14 9.2000E-15 7.9137E-15 6.7620E-15 5.7348E-15 4.8236E-15
  4.0207E-15 3.3191E-15 2.7120E-15 2.1924E-15 1.7532E-15 1.3866E-15 1.0849E-15
  8.3985E-16 6.4360E-16 4.8850E-16 3.6749E-16 2.7447E-16 2.0547E-16 1.6096E-16
  1.4647E-16 1.6712E-16 2.1883E-16 2.8553E-16 3.4584E-16 3.8297E-16 3.9025E-16
  3.7048E-16 3.3178E-16 2.8340E-16 2.3304E-16 1.8589E-16 1.4471E-16 1.1050E-16
  8.3078E-17 6.1701E-17 4.5376E-17 3.3114E-17 2.4017E-17 1.7330E-17 1.2459E-17
  8.9281E-18 6.3838E-18 4.5537E-18 3.2436E-18 2.3109E-18 1.6409E-18 1.1655E-18
  8.2731E-19 5.8698E-19 4.1630E-19 2.9517E-19 2.0923E-19 1.4829E-19 1.0509E-19
  7.4463E-20 5.2762E-20 3.7372E-20 2.6487E-20 1.8769E-20 1.3315E-20 9.4236E-21
 10310101.0530 -4.0010E-02  9.4770E-14  8.4433E-14  7.5216E-14  6.6997E-14
  5.9666E-14 5.3126E-14 4.7289E-14 4.2078E-14 3.7424E-14 3.3264E-14 2.9544E-14
  2.6215E-14 2.3235E-14 2.0565E-14 1.8170E-14 1.6020E-14 1.4089E-14 1.2352E-14
  1.0790E-14 9.3845E-15 8.1207E-15 6.9859E-15 5.9695E-15 5.0627E-15 4.2581E-15
  3.5489E-15 2.9291E-15 2.3928E-15 1.9339E-15 1.5460E-15 1.2224E-15 9.5613E-16
  7.3999E-16 5.6693E-16 4.3021E-16 3.2357E-16 2.4159E-16 1.8067E-16 1.4108E-16
  1.2792E-16 1.4664E-16 1.9485E-16 2.5879E-16 3.1863E-16 3.5778E-16 3.6879E-16
  3.5339E-16 3.1887E-16 2.7403E-16 2.2643E-16 1.8132E-16 1.4159E-16 1.0838E-16
  8.1641E-17 6.0726E-17 4.4714E-17 3.2662E-17 2.3706E-17 1.7118E-17 1.2312E-17
  8.8263E-18 6.3120E-18 4.5042E-18 3.2094E-18 2.2845E-18 1.6235E-18 1.1532E-18
  8.1860E-19 5.8080E-19 4.1191E-19 2.9204E-19 2.0700E-19 1.4670E-19 1.0395E-19
  7.3644E-20 5.2173E-20 3.6955E-20 2.6178E-20 1.8543E-20 1.3138E-20 9.3036E-21
 10310101.0630 -2.7780E-02  7.0576E-14  6.2882E-14  5.6022E-14  4.9904E-14
  4.4449E-14 3.9581E-14 3.5237E-14 3.1359E-14 2.7894E-14 2.4796E-14 2.2025E-14
  1.9544E-14 1.7323E-14 1.5331E-14 1.3545E-14 1.1942E-14 1.0501E-14 9.2055E-15
  8.0400E-15 6.9912E-15 6.0482E-15 5.2013E-15 4.4430E-15 3.7665E-15 3.1663E-15
  2.6375E-15 2.1756E-15 1.7762E-15 1.4346E-15 1.1461E-15 9.0569E-16 7.0797E-16
  5.4762E-16 4.1933E-16 3.1805E-16 2.3911E-16 1.7849E-16 1.3363E-16 1.0526E-16
  9.8333E-17 1.1820E-16 1.6344E-16 2.2245E-16 2.7801E-16 3.1517E-16 3.2754E-16
  3.1620E-16 2.8747E-16 2.4900E-16 2.0750E-16 1.6764E-16 1.3215E-16 1.0215E-16
  7.7728E-17 5.8416E-17 4.3471E-17 3.2092E-17 2.3545E-17 1.7195E-17 1.2507E-17
  9.0487E-18 6.5846E-18 4.7117E-18 3.3912E-18 2.5306E-18 1.7610E-18 1.2646E-18
  9.0749E-19 6.5084E-19 4.6657E-19 3.3434E-19 2.3946E-19 1.7150E-19 1.2278E-19
  8.7872E-20 6.2958E-20 4.4665E-20 3.2137E-20 2.3006E-20 1.6899E-20 1.1702E-20
 10310101.0730 -2.0409E-02  5.1731E-14  4.6096E-14  4.1072E-14  3.6592E-14
  3.2596E-14 2.9032E-14 2.5850E-14 2.3009E-14 2.0470E-14 1.8199E-14 1.6167E-14
  1.4347E-14 1.2716E-14 1.1253E-14 9.9407E-15 8.7623E-15 7.7032E-15 6.7508E-15
  5.8938E-15 5.1228E-15 4.4296E-15 3.8073E-15 3.2502E-15 2.7535E-15 2.3131E-15
  1.9254E-15 1.5870E-15 1.2947E-15 1.0449E-15 8.3423E-16 6.5876E-16 5.1462E-16
  3.9783E-16 3.0447E-16 2.3082E-16 1.7345E-16 1.2939E-16 9.6552E-17 7.4757E-17
  6.6249E-17 7.3670E-17 9.6062E-17 1.2692E-16 1.5657E-16 1.7656E-16 1.8313E-16
  1.7670E-16 1.6068E-16 1.3925E-16 1.1612E-16 9.3883E-17 7.4059E-17 5.7284E-17
  4.3618E-17 3.2801E-17 2.4424E-17 1.8040E-17 1.3243E-17 9.6767E-18 7.0421E-18
  5.0967E-18 3.7116E-18 2.6561E-18 1.9124E-18 1.4301E-18 9.9414E-19 7.1418E-19
  5.1271E-19 3.6786E-19 2.6381E-19 1.8911E-19 1.3549E-19 9.7074E-20 6.9522E-20
  4.9774E-20 3.5676E-20 2.5309E-20 1.8221E-20 1.3049E-20 9.5988E-21 6.6403E-21
 10310101.0830 -1.5625E-02  3.8488E-14  3.4300E-14  3.0566E-14  2.7237E-14
  2.4268E-14 2.1619E-14 1.9254E-14 1.7142E-14 1.5254E-14 1.3564E-14 1.2050E-14
  1.0693E-14 9.4762E-15 8.3846E-15 7.4047E-15 6.5246E-15 5.7334E-15 5.0219E-15
  4.3818E-15 3.8060E-15 3.2885E-15 2.8243E-15 2.4090E-15 2.0391E-15 1.7114E-15
  1.4233E-15 1.1721E-15 9.5536E-16 7.7044E-16 6.1460E-16 4.8499E-16 3.7862E-16
  2.9252E-16 2.2375E-16 1.6955E-16 1.2736E-16 9.5038E-17 7.1405E-17 5.7677E-17
  5.8270E-17 7.8076E-17 1.1682E-16 1.6607E-16 2.1250E-16 2.4433E-16 2.5599E-16
  2.4825E-16 2.2613E-16 1.9585E-16 1.6291E-16 1.3122E-16 1.0302E-16 7.9238E-17
  5.9963E-17 4.4794E-17 3.3120E-17 2.4288E-17 1.7696E-17 1.2829E-17 9.2622E-18
  6.6607E-18 4.7904E-18 3.4218E-18 2.4461E-18 1.7684E-18 1.2480E-18 8.8966E-19
  6.3379E-19 4.5127E-19 3.2119E-19 2.2852E-19 1.6254E-19 1.1560E-19 8.2196E-20
  5.8434E-20 4.1557E-20 2.9448E-20 2.0974E-20 1.4911E-20 1.0703E-20 7.5159E-21
 10310101.0930 -1.2346E-02  2.9225E-14  2.6049E-14  2.3218E-14  2.0694E-14
  1.8444E-14 1.6436E-14 1.4643E-14 1.3042E-14 1.1609E-14 1.0325E-14 9.1738E-15
  8.1411E-15 7.2141E-15 6.3817E-15 5.6340E-15 4.9621E-15 4.3580E-15 3.8146E-15
  3.3259E-15 2.8864E-15 2.4917E-15 2.1379E-15 1.8217E-15 1.5404E-15 1.2916E-15
  1.0730E-15 8.8282E-16 7.1891E-16 5.7926E-16 4.6172E-16 3.6408E-16 2.8405E-16
  2.1932E-16 1.6768E-16 1.2700E-16 9.5362E-17 7.1130E-17 5.3392E-17 4.2959E-17
  4.2945E-17 5.6801E-17 8.4269E-17 1.1927E-16 1.5226E-16 1.7482E-16 1.8288E-16
  1.7717E-16 1.6118E-16 1.3944E-16 1.1587E-16 9.3199E-17 7.3063E-17 5.6127E-17
  4.2412E-17 3.1642E-17 2.3350E-17 1.7101E-17 1.2444E-17 8.9905E-18 6.4803E-18
