   j      e(j)         levid         stwt


   93  -0.1000E-01  10310101.1030      7.0
   94  -0.1000E-01  10510101.1050     11.0
   95  -0.1000E-01  30400101.1040     27.0
   96  -0.1000E-01  10600101.1060     13.0
   97  -0.1000E-01  30510101.1050     33.0
   98  -0.1000E-01  30600101.1060     39.0
   99  -0.1000E-01  30710101.1070     45.0
  100   0.2581E+01  30100103.0310      9.0
  101   0.2840E+01  10100103.0310      3.0
  102   0.2865E+01  30100103.0410      9.0
  103   0.2873E+01  10210103.0320      5.0
  104   0.2882E+01  30210103.0320     15.0
  105   0.2920E+01  10100103.0410      3.0
  106   0.2929E+01  30100103.0510      9.0
  107   0.2931E+01  10210103.0420      5.0
  108   0.2935E+01  30210103.0420     15.0
  109   0.2936E+01  10300103.0430      7.0
  110   0.2936E+01  30300103.0430     21.0
  111   0.2952E+01  10100103.0510      3.0
  112   0.2956E+01  30100103.0610      9.0
  113   0.2957E+01  10210103.0520      5.0
  114   0.2959E+01  30210103.0520     15.0
  115   0.2959E+01  10300103.0530      7.0
  116   0.2959E+01  30300103.0530     21.0
  117   0.2960E+01  10410103.0540      9.0
  118   0.2960E+01  30410103.0540     27.0
  119   0.2968E+01  10100103.0610      3.0
  120   0.2970E+01  30100103.0710      9.0
  121   0.2970E+01  10210103.0620      5.0
  122   0.2971E+01  30210103.0620     15.0
  123   0.2972E+01  10300103.0630      7.0
  124   0.2972E+01  30300103.0630     21.0
  125   0.2972E+01  10410103.0640      9.0
  126   0.2972E+01  30410103.0640     27.0
  127   0.2972E+01  10500103.0650     11.0
  128   0.2972E+01  30500103.0650     33.0
  129   0.2977E+01  10100103.0710      3.0
  130   0.2978E+01  30100103.0810      9.0
  131   0.2978E+01  10210103.0720      5.0
  132   0.2979E+01  30210103.0720     15.0
  133   0.2979E+01  10300103.0730      7.0
  134   0.2979E+01  30300103.0730     21.0
  135   0.2979E+01  10410103.0740      9.0
  136   0.2979E+01  30410103.0740     27.0
  137   0.2980E+01  10500103.0750     11.0
  138   0.2980E+01  30500103.0750     33.0
  139   0.2980E+01  10610103.0760     13.0
  140   0.2980E+01  30610103.0760     39.0
